xx,xxx,xx,0,xx
1,TUBO GALV. 3/8  ,MT,220.40,11001
2,TUBO GALV. 3/8 x 6M          ,MT,0.00,11002
3,TUBO GALV. 1/2  ,MT,112.00,11003
4,TUBO GALV. 1/2 x 6M          ,MT,358.00,11004
5,TUBO GALV. 3/4  ,MT,176.00,11005
6,TUBO GALV. 3/4 x 6M          ,MT,485.00,11006
7,CODO GALV 1/4 x 90,PZ,11.99,11007
8,CODO GALV. 3/8 x 90          ,PZ,11.00,11008
9,CODO GALV 1/2 x 90,PZ,11.99,11009
10,CODO GALV. 3/4 x 90          ,PZ,24.00,11010
11,CODO GALV. 1 x 90,PZ,20.01,11011
12,CODO GALV. 1 1/4 x 90         ,PZ,15.00,11012
13,CODO GALV. 1 1/2 x 90         ,PZ,20.00,11013
14,CODO GALV. 1/2 x 45,PZ,15.92,11014
15,CODO GALV. 3/4 x 45          ,PZ,14.00,11015
16,CODO GALV. 1 x 45,PZ,19.00,11016
17,CODO GALV. 1 1/4 x 45         ,PZ,22.01,11017
18,CODO GALV. 1 1/2 x 45         ,PZ,25.00,11018
19,CODO RINCON 1/2 ,PZ,25.00,11019
20,COPLE LISO GALV 1/4,PZ,18.00,11020
21,COPLE LISO GALV. 3/8          ,PZ,17.01,11021
22,COPLE LISO GALV 1/2,PZ,16.00,11022
23,COPLE LISO GALV. 3/4          ,PZ,13.00,11023
24,COPLE LISO GALV. 1,PZ,21.98,11024
25,COPLE LISO GALV. 1 1/4         ,PZ,15.00,11025
26,COPLE LISO GALV. 1 1/2         ,PZ,16.00,11026
27,CRUZ GALV. 1/2  ,PZ,25.00,11027
28,NIPLE GALV 1/4 CC ,PZ,11.00,11028
29,NIPLE GALV. 1/4 x 2          ,PZ,13.00,11029
30,NIPLE GALV 1/4 x 2,PZ,16.99,11030
31,NIPLE GALV. 1/4 x 4          ,PZ,17.01,11031
32,NIPLE GALV. 3/8 CC,PZ,6.00,11032
33,NIPLE GALV. 3/8 x 2,PZ,13.00,11033
34,NIPLE GALV. 3/8 x 3          ,PZ,10.00,11034
35,NIPLE GALV. 3/8 x 4,PZ,18.00,11035
36,NIPLE GALV. 3/8 x 6          ,PZ,15.00,11036
37,NIPLE GALV 1/2 CC ,PZ,6.00,11037
38,NIPLE GALV. 1/2 x 2,PZ,11.00,11038
39,NIPLE GALV 1/2 x 3,PZ,11.00,11039
40,NIPLE GALV. 1/2 x 4          ,PZ,20.00,11040
41,NIPLE GALV. 1/2 x 5          ,PZ,23.00,11041
42,NIPLE GALV. 1/2 x 6          ,PZ,21.00,11042
43,NIPLE GALV. 1/2 x 7          ,PZ,25.00,11043
44,NIPLE GALV 1/2 x 8,PZ,43.00,11044
45,NIPLE GALV. 1/2 x 10         ,PZ,31.00,11045
46,NIPLE GALV 1/2 x 30 cms         ,PZ,43.00,11046
47,NIPLE GALV. 1/2 x 16         ,PZ,56.00,11047
48,NIPLE GALV 1/2 x 50 cms         ,PZ,39.00,11048
49,NIPLE GALV. 1/2 x 24         ,PZ,59.00,11049
50,NIPLE GALV. 1/2 x 30          ,PZ,58.00,11050
51,NIPLE GALV. 1/2 x 40         ,PZ,66.00,11051
52,NIPLE GALV. 3/4CC,PZ,6.99,11052
53,NIPLE GALV. 3/4 x 2,PZ,18.00,11053
54,NIPLE GALV. 3/4 x 3          ,PZ,11.99,11054
55,NIPLE GALV. 3/4 x 4          ,PZ,15.00,11055
56,NIPLE GALV 3/4 x 6,PZ,16.00,11056
57,NIPLE GALV. 3/4 x 8          ,PZ,55.00,11057
58,NIPLE GALV. 1 CC ,PZ,9.00,11058
59,NIPLE GALV. 1 x 2,PZ,13.00,11059
60,NIPLE GALV. 1 x 3,PZ,18.00,11060
61,NIPLE GALV. 1 x 4,PZ,17.01,11061
62,NIPLE GALV. 1 x 6,PZ,23.00,11062
63,NIPLE GALV. 1 x 8,PZ,35.00,11063
64,NIPLE GALV. 1 1/4 CC          ,PZ,15.00,11064
65,NIPLE GALV. 1 1/4 x 2         ,PZ,17.01,11065
66,NIPLE GALV. 1 1/4 x 3         ,PZ,19.00,11066
67,TAPÓN MACHO GALV. 1/4         ,PZ,11.99,11067
68,TAPÓN MACHO GALV. 3/8         ,PZ,5.00,11068
69,TAPÓN MACHO GALV. 1 2          ,PZ,14.00,11069
70,TAPÓN MACHO GALV. 3/4         ,PZ,8.00,11070
71,TAPÓN MACHO GALV. 1          ,PZ,14.00,11071
72,TAPÓN CAPA GALV. 3/8          ,PZ,6.00,11072
73,TAPÓN CAPA GALV. 1/2          ,PZ,15.00,11073
74,TAPÓN CAPA GALV. 3/4          ,PZ,16.00,11074
75,TAPÓN CAPA GALV. 1,PZ,13.00,11075
76,TAPÓN CAPA GALV. 1 1/4         ,PZ,13.00,11076
77,TEE GALV. 1/4  ,PZ,23.00,11077
78,TEE GALV. 3/8  ,PZ,11.99,11078
79,TEE GALV 1/2   ,PZ,27.00,11079
80,TEE GALV. 3/4  ,PZ,25.00,11080
81,TEE GALV. 1   ,PZ,23.00,11081
82,TEE GALV. 1 1/4 ,PZ,26.00,11082
83,TUERCA UNIÓN GALV. 3/8         ,PZ,39.00,11083
84,TUERCA UNIÓN GALV. 1/2         ,PZ,47.00,11084
85,TUERCA UNIÓN GALV. 3/4         ,PZ,69.00,11085
86,TUERCA UNIÓN GALV. 1          ,PZ,49.00,11086
87,TUERCA PRESIÓN GALV. 1/2        ,PZ,6.99,11087
88,REDUCCIÓN BUSHING GALV. 3/8 x 1/4   ,PZ,24.00,11088
89,REDUCCION BUSHING GALV 1/2 x 1/4    ,PZ,19.00,11089
90,REDUCCIÓN BUSHING GALV. 1/2 x 3/8   ,PZ,13.00,11090
91,REDUCCIÓN BUSHING GALV. 3/4 x 1/2   ,PZ,19.00,11091
92,REDUCCIÓN BUSHING GALV. 1 x 1/2    ,PZ,18.00,11092
93,REDUCCIÓN BUSHING GALV. 1 x 3/4     ,PZ,45.54,11093
94,REDUCCIÓN BUSHING GALV. 1 1/4 x 1/2  ,PZ,16.00,11094
95,REDUCCIÓN BUSHING GALV. 1 1/4 x 3/4  ,PZ,39.60,11095
96,REDUCCIÓN BUSHING GALV. 1 1/4 x 1   ,PZ,31.23,11096
97,REDUCCIÓN BUSHING GALV. 1 1/2 x 1/2  ,PZ,49.00,11097
98,REDUCCIÓN BUSHING GALV. 1 1/2 x 3/4  ,PZ,24.00,11098
99,REDUCCIÓN BUSHING GALV. 1 1/2 x 1   ,PZ,26.00,11099
100,REDUCCIÓN BUSHING GALV. 1 1/2 x 1 1/4 ,PZ,33.00,11100
101,REDUCCIÓN BUSHING GALV. 2 x 3/4    ,PZ,25.00,11101
102,REDUCCIÓN BUSHING GALV. 2 x 1     ,PZ,28.00,11102
103,REDUCCIÓN BUSHING GALV. 2 x 1 1/4   ,PZ,28.00,11103
104,REDUCCIÓN BUSHING GALV. 2 x 1 1/2   ,PZ,35.00,11104
105,REDUCCIÓN CAMPANA GALV. 3/8 x 1/4   ,PZ,20.00,11105
106,REDUCCION CAMPANA GALV 1/2 x 1/4    ,PZ,29.00,11106
107,REDUCCIÓN CAMPANA GALV. 1/2 x 3/8    ,PZ,28.00,11107
108,REDUCCIÓN CAMPANA GALV. 3/4 x 1/2   ,PZ,24.00,11108
109,REDUCCIÓN CAMPANA GALV. 1 x 1/2    ,PZ,18.00,11109
110,REDUCCIÓN CAMPANA GALV. 1 x 3/4    ,PZ,31.00,11110
111,ROLDANA ARAÑA GALV. 1/2        ,PZ,3.50,11111
112,YEE GALV. 3/4  ,PZ,56.00,11112
113,YEE GALV. 1 1/4 ,PZ,62.00,11113
114,TAPON CAPA GALV. 1/4          ,PZ,13.00,11114
115,CUBRE TALADRO   ,PZ,15.00,11115
116,TEE DESAGUE P/TINACO 1 1/12      ,PZ,115.00,11116
117,NIPLE GALV 1/4 X 5,PZ,24.00,11120
118,TUBO COBRE RIG. T.M. 1/2        ,MT,132.00,12001
119,TUBO COBRE RIG. T.M. 1/2 x 6m     ,PZ,457.01,12002
